strategy,dataset,patience,size_scale,threshold,accuracy,f1_macro,n_trees
s7_perclient_f1_pcd,Car,5,5,0.005,0.9229287090558765,0.844763918787399,27
s7_perclient_f1_pcd,Car,5,10,0.001,0.928709055876686,0.8342450693798739,45
s7_perclient_f1_pcd,Car,5,10,0.002,0.928709055876686,0.8342450693798739,45
s7_perclient_f1_pcd,Car,5,10,0.005,0.928709055876686,0.8342450693798739,45
s7_perclient_f1_pcd,Car,5,15,0.001,0.9238921001926782,0.8254258252887331,45
s7_perclient_f1_pcd,Car,5,15,0.002,0.9238921001926782,0.8254258252887331,45
s7_perclient_f1_pcd,Car,5,15,0.005,0.9238921001926782,0.8254258252887331,45
pw,Car,3,5,0.001,0.8872832369942195,0.7788185414707023,9
pw,Car,3,5,0.002,0.8872832369942195,0.7788185414707023,9
pw,Car,3,5,0.005,0.8872832369942195,0.7788185414707023,9
pw,Car,3,10,0.001,0.9248554913294798,0.8291451503924163,27
pw,Car,3,10,0.002,0.9248554913294798,0.8291451503924163,27
pw,Car,3,10,0.005,0.9248554913294798,0.8291451503924163,27
pw,Car,3,15,0.001,0.9248554913294798,0.8417635955514745,45
pw,Car,3,15,0.002,0.9248554913294798,0.8417635955514745,45
pw,Car,3,15,0.005,0.9248554913294798,0.8417635955514745,45
pw,Car,4,5,0.001,0.8872832369942195,0.7788185414707023,9
pw,Car,4,5,0.002,0.8872832369942195,0.7788185414707023,9
pw,Car,4,5,0.005,0.8872832369942195,0.7788185414707023,9
pw,Car,4,10,0.001,0.9248554913294798,0.8291451503924163,27
pw,Car,4,10,0.002,0.9248554913294798,0.8291451503924163,27
pw,Car,4,10,0.005,0.9248554913294798,0.8291451503924163,27
pw,Car,4,15,0.001,0.9248554913294798,0.8417635955514745,45
pw,Car,4,15,0.002,0.9248554913294798,0.8417635955514745,45
pw,Car,4,15,0.005,0.9248554913294798,0.8417635955514745,45
pw,Car,5,5,0.001,0.8872832369942195,0.7788185414707023,9
pw,Car,5,5,0.002,0.8872832369942195,0.7788185414707023,9
pw,Car,5,5,0.005,0.8872832369942195,0.7788185414707023,9
pw,Car,5,10,0.001,0.9248554913294798,0.8291451503924163,27
pw,Car,5,10,0.002,0.9248554913294798,0.8291451503924163,27
pw,Car,5,10,0.005,0.9248554913294798,0.8291451503924163,27
pw,Car,5,15,0.001,0.9248554913294798,0.8417635955514745,45
pw,Car,5,15,0.002,0.9248554913294798,0.8417635955514745,45
pw,Car,5,15,0.005,0.9248554913294798,0.8417635955514745,45
s4_global_f1_pcd,Sonar,3,5,0.001,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,3,5,0.002,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,3,5,0.005,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,3,10,0.001,0.7619047619047619,0.7543489190548014,40
s4_global_f1_pcd,Sonar,3,10,0.002,0.7619047619047619,0.7543489190548014,40
s4_global_f1_pcd,Sonar,3,10,0.005,0.7619047619047619,0.7543489190548014,40
s4_global_f1_pcd,Sonar,3,15,0.001,0.7777777777777777,0.7733967528710958,45
s4_global_f1_pcd,Sonar,3,15,0.002,0.7777777777777777,0.7733967528710958,45
s4_global_f1_pcd,Sonar,3,15,0.005,0.7777777777777777,0.7733967528710958,45
s4_global_f1_pcd,Sonar,4,5,0.001,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,4,5,0.002,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,4,5,0.005,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,4,10,0.001,0.7619047619047619,0.7543489190548014,40
s4_global_f1_pcd,Sonar,4,10,0.002,0.7619047619047619,0.7543489190548014,40
s4_global_f1_pcd,Sonar,4,10,0.005,0.7619047619047619,0.7543489190548014,40
s4_global_f1_pcd,Sonar,4,15,0.001,0.7777777777777777,0.7733967528710958,45
